Location,TimeFrame,DataFormat,Data
ACADEMY 20,2007,Percent,0.39159
ACADEMY 20,2006,Percent,0.35364
ADAMS COUNTY 14,2007,Percent,0.30643
ADAMS COUNTY 14,2006,Percent,0.29331
Colorado,2007,Percent,0.39465
Colorado,2006,Percent,0.33677
